Step,Area,Obiettivo,Prompt / Input
5,Google Ads,Google Ads - Responsive Search Ad V1,"Voglio che tu agisca come un advertiser. Crea il testo di: 

15 Google Ads search headlines di minimo 20 e massimo 30 caratteri per il prodotto qui sotto.
1  Google Ads headline di 90 caratteri
4 Google Ads search descriptions di 90 caratteri 

In almeno 3 headlines, includi la keyword [SEED KEYWORD]

Dividi il testo in:

Headline Standard
- 3 Headlines con focus sulla keyword principale
- 5 Headlines con focus sui benefici
- 3 Headline con focus sulle USP
- 2 Headline con focus su Desideri
- 1 Headline con focus su Bonus
- 1 Headline con focus su garanzie

Headline Lunga
- 1 Headline lunga 

Descrizioni:
- 2 Descriptions con focus sulle USP
- 2 Descriptions con focus su scarsità e urgenza


INFORMAZIONI CHIAVE:

Descrizione prodotto: 

Target Audience: 

Categoria prodotto: 

Target Market:

USP:

Benefici:

Desideri:

Bonus:

Garanzie:
"
5,Google Ads,Google Ads - Ad Copy Table,"Raggruppa i dati precedenti in una tabella con le seguenti colonne: # variante, Headline, Description																						"
5,Google Ads,Google Ads - Responsive Search Ad V2,"Voglio che tu agisca come un PPC specialist. Crea una tabella con le seguenti intestazioni di colonna e contenuto per le nostre Google Responsive Search Ads:

Parola chiave: un termine di ricerca per un sito di olio e creme per il viso naturali, privi di sostanze nocive.
Tipo di corrispondenza: Esatta su ogni riga
Campagna: XXX su ogni riga
Gruppo di annunci: il termine di ricerca elencato nella colonna Parola chiave su ogni riga
Tipo di annuncio: Responsive Search Ad su ogni riga
Titolo 1: un testo di massimo 30 caratteri senza punti esclamativi che si adatta esattamente alla parola chiave di quella riga
Titolo 2: come Titolo1 ma usando il principio di Cialdini di riprova sociale, senza utilizzare un punti esclamativi
Titolo 3: come Titolo1 ma usando il principio di Cialdini di scarsità, senza utilizzare punti esclamativi
Descrizione 1: un testo di massimo 90 caratteri che si adatta alla parola chiave di quella riga - utilizzando il principio di Cialdini di riprova sociale
Descrizione2: simile a Descrizione 1 ma usando il principio di Cialdini di autorità
URL finale: del brand su ogni riga (.com)"
5,Google Ads,Google Ads - Sitelink Extensions,"Voglio che tu agisca come un PPC specialist. Crea il seguente copy per il prodotto qui sotto

- 4 Sitelink extensions differenti con suggerimento di URL
- Ogni sitelink non deve avere più di 30 caratteri
- Ogni sitelink deve avere 2 descrizioni di massimo 25 caratteri ognuna

Descrizione prodotto: 

Target Audience: 

Categoria prodotto: 

Target Market:"
5,Google Ads,Google Ads - Callout Extensions,"Voglio che tu agisca come un PPC specialist. Crea il copy per il prodotto indicato qui sotto 

- 10 Google Ads callout extensions, massimo 25 caratteri ognuna

Categoria prodotto: 

Target Market:

Offerta principale: "
5,Google Ads,Google Ads - Structured Snippets,"Voglio che tu agisca come un PPC specialist. Crea il copy per il prodotto indicato qui sotto 

- 2 Google Ads Structure snippet extensions
- Ogni snippet deve avere 5 valori
- Ogni valore non può essere più lungo di 15 characters

Il formato dovrebbe essere:
Type: Value 1, Value 2, etc.

Categoria prodotto: "
5,Google Ads,Google Ads - Negative Keyword list,"Voglio che tu agisca come un PPC specialist. Crea una lista estensiva di negative keywords per il prodotto qui sotto. 

Descrizione brand: 
Categoria prodotto: 

Target Market:

Offerta principale: "
5,Google Ads,Google Ads - In Market & Affinity Audiences,"Voglio che tu agisca come un PPC specialist. Definisci in maniera dettagliata quali Google Ads In Market segments, Affinity Audiences e Demographic targets (age, sex, income levels) devo targetizzare per promuovere il prodotto qui sotto.

Descrizione brand: 

Categoria prodotto: 

Target Market: 

Offerta principale:"
5,Google Ads,Google Ads - Remarketing Audiences,"Voglio che tu agisca come un PPC specialist. Fornisci la lista delle migliori 10 remarketing audiences da targetizzare per il prodotto qui sotto.

Categoria prodotto:

Prodotto principale/Offerta:
"
5,Google Ads,Google Ads - Youtube Exclusion List,"Voglio che tu agisca come un PPC specialist. Fornisci una lista di esclusioni di posizionamenti Youtube per il mercato italiano che non sono rilevanti per la mia target audience e che dovrei escludere dal targeting per la categoria di prodotto qui sotto. 

Categoria prodotto:

Prodotto principale/Offerta:

Target audience:

"
5,Google Ads,Google Ads - Experiment Ideas,"Voglio che tu agisca come un advertiser. Fornisci una lista di possibili A/B test e esperimenti che potrei implementare per il prodotto qui sotto.

Categoria prodotto:

Target audience:

"
5,Google Ads,Google Ads - Responsive Search Ad,"Voglio che tu agisca come un advertiser. Crea 2 Google Ads in formato RSA (utilizzando fino a 15 headlines e 4 descrizioni) per un A/B test for il prodotto qui sotto. Spiega perché questo sarebbe un buon test per le ads. 

Categoria prodotto:

Target audience:

"
5,Google Ads,Google Ads - Responsive Display Ad,"Voglio che tu agisca come un advertiser. Devo creare delle Responsive Display Ads per una campagna Google Ads. Suggerisci immagini, titoli e descrizioni per il prodotto qui sotto.  Proponi soluzioni creative e idee.

Categoria prodotto:

"
5,Google Ads,Google Ads - Ottimizzazione campagne,"Voglio che tu agisca come un PPC specialist. Analizza in maniera dettagliata le campagne Google Ads qui sotto, e fai un report degli insights e trends che hai identificato. 

In particolare voglio sapere:
- quali campagne hanno generato maggiori vendite
- qual è il Conv value/Cost medio dell'account
- quali campagne non raggiungono il Conv value/Cost  di almeno 3x
- quali campagne hanno il Conversion rate più alto
- quali campagne hanno il Conversion rate più basso
- cosa posso fare per ottimizzare le campagne in futuro per diminuire il costo per conversione e aumentare il Conv value/Cost

Descrizione brand: Jojoba Co è un brand internazionale di skincare, specializzato nella produzione di prodotti per la bellezza e la cura del viso a base di olio di jojoba. La promessa del brand è di ""aiutare la pelle a curarsi da sola"". L'olio di jojoba è differente da tutti gli altri olii, perchè non è un olio. È l'unica pianta che immagazzina cera liquida nei suoi semi. Condivide la stessa struttura molecolare degli esteri di cera naturali presenti nella pelle umana sana, che lo rendono più recettivo nell'assorbire nutrienti e antiossidanti essenziali, ripristinando l'equilibrio e aiutando la pelle a comportarsi come era stata progettata per fare. L'olio di jojoba Wadi-Wadi è un antico super-ingrediente ed è il cuore della nostra cura della pelle.  Costituisce l'alternativa naturale, efficace e accessibile a costosi prodotti di bellezza, senza sostanze chimiche aggiunte.

Categoria prodotto: Oli e creme per la pelle naturali, di qualità, sostenibili e senza sostanze chimiche nocive. 

Target Market: Italia

DATI DA ANALIZZARE"
6,Analisi Quantitativa,Monitoraggio e analisi delle campagne,"Voglio che tu agisca come un Data Analyst. Io ti fornirò dei dati legati alla performance delle campagne. Analizza i KPI delle seguenti campagne e fornisci degli insight rispetto a:
- recap risultati attuali delle campagne
- 3 best performing e 3 lowest performing campaigns
- quali campagne hanno un trend positivo (indica gli aumenti + % delle specifiche campagne)
- quali campagne hanno un trend negativo (indica la decrescita - % delle specifiche campagne)
- quali possono essere le ragioni dietro alle performance negative 
- idee per migliorare la performance delle campagne 

Copia incolla dei dati delle campagne:

"
6,Analisi Quantitativa,Monitoraggio e analisi delle campagne,"Voglio che tu agisca come un Data Analyst. Sulla base dei dati analizzati precedentemente, crea un recap dei 5 principali action points da implementare sui differenti canali di marketing.


Copia incolla dei dati delle campagne:                                                                                                                                                                       "
6,Analisi Quantitativa,Modifiche Post Analisi,"Voglio che tu agisca come un Data Analyst. Sulla base dei dati precedenti, analizza i KPI e fornisci degli insight rispetto a:
- idee per migliorare la performance delle campagne 
- stimare l’impatto delle idee 
- prioritizzazione delle idee dal punto di vista dell’implementazione


Copia incolla dei dati delle campagne:"
6,Analisi Qualitativa,Thematic Analysis,"Voglio che tu agisca come un ricercatore di mercato. Analizza le interviste ai nostri clienti. Analizza le seguenti risposte e prepara un'analisi tematica (thematic analysis). Organizza i temi in categorie e dividili per paragrafo.

Domande intervista:

Risposte intervista:"
6,Analisi Qualitativa,Thematic Analysis,"Voglio che tu agisca come un ricercatore di mercato. Fai una lista dei temi principali toccati all'interno delle risposte alle interviste, individua i trend e dimmi quante volte è stato nominato ogni tema all'interno delle risposte. Segui questa struttura

Tema: 
Numero di menzioni:

Risposte intervista:"
6,Analisi Qualitativa,Analisi Recensioni Clienti - Aspetti positivi e negativi,"Ora aiutami a definire cosa gli utenti hanno amato o odiato a proposito dei prodotti sulla base delle reviews.

Crea:

- 1 tabella con colonne: Aspetto positivo apprezzato, spiegazione, Opportunità di business, Angolo da usare nell'Ad

- 1 tabella con colonne: Aspetto negativo non apprezzato, spiegazione, Opportunità di business da cogliere lato posizionamento e miglioramento prodotto, Angolo di comunicazione da usare nell'Ad"
6,Analisi Qualitativa,Trasformare recensioni in tabella angoli contenuto,"Ora crea una tabella strutturata con le seguenti colonne:

Benefit

Prodotto

Angle

Emotional Appeal

Hook

Pain Point

Desiderio

Citazione (breve citazione rappresentativa del concetto tratta dalla review migliore e più eccentrica disponibile tra quelle fornite)

Static Ad Concept

Video Ad Concept

Usa le recensioni sopra come input e riempi ogni colonna con precisione."
6,Analisi Qualitativa,Sentiment Analysis,"Voglio che tu agisca come un ricercatore di mercato. Fai una sentimenti analysis dei seguenti commenti al post social pubblicato per la seguente categoria di prodotto. Rispondi con un commento in italiano. Raggruppa i feedback sui commenti in temi comuni.

Categoria prodotto:

Commenti social:

"
7,Creatività,Video Ad Script - TikTok,"Crea lo script di un video TikTok per il prodotto qui sotto di 30 secondi. Utilizza l'hook ""Why I stopped doing this and I did this instead"". Dividi lo script nei paragrafi Intro, body, conclusione. Scrivi il copione del testo.

Descrizione prodotto:

Target audience:

Benefici prodotto:

"
7,Creatività,TikTok Hook Variations,"Voglio che tu agisca come un Content Creator. 
Adesso analizza quale dei seguenti TikTok Hooks può funzionare meglio per il brand qui sotto. 
Seleziona i 3 che meglio si adattano al contesto di questo brand.
Poi crea lo script di 3 video TikTok di massimo 30 secondi, basandoti sulle USP del prodotto e i pain points della target audience. Posiziona il prodotto come la soluzione ai loro problemi.
Dividi lo script nei paragrafi Intro, body, conclusione. Scrivi il copione del testo.


HOOKS da considerare:
1. “Watch till the end!”
This is one of the brilliant hooks at the start of the video to force the audience to watch it till the end. Keep up the audience’s excitement by telling them that something amusing is happening if they watch the entire reel.

2. “I need your help…”
Let the audience come to you to learn what you need help for!

3. “I’ve got a secret”
The audience will react, “Well! tell me!”. It’s intriguing and a smart way to hook your audience. 

4. “This one is for ___”
Give your audience a name and personalize your TikTok or Reels to make it more fun! For example, start the video with ‘This one is for Plann’rs’. 

5. “Quick Reminder!”
Show your audience you’ve got their back with handy tips and reminders. 

6. “Did you know that…”
Yep, hook your audience with the most classic question!

7. “Hear me out…”
Your viewers would love to hear your thoughts.

8. “Stop scrolling!”
Why? Let’s see what this creator has to say.

9. “If you want to achieve_____ Listen up!”
Help your audience reach their goals.

10. “You need to watch this if you struggle with______”
Address your specific audience and highlight the specific problem statement to make your video more engaging.

11. “This tip will blow your mind…”
Everyone wants to learn something new.

12. “You need to hear this!”
Curious minds will fall for this one.

13. “I bet you didn’t know this!”
Who doesn’t want to stay updated with what’s going on around the world?

14. “Why are there not more people talking about___”
Aha! Let them talk about your product.

15. “How to___ FOR FREE”
Who doesn’t love freebie!


Categoria prodotto: 

Target Market:

Target Audience: 

Descrizione prodotto: 

USP

Pain Points:
"
7,Creatività,Video Ad Script - Reel PAS,"Crea lo script di un video Reel per il prodotto qui sotto di 30 secondi. Utilizza il framework  PAS (problem, agitation, solution). Dividi lo script nei paragrafi Intro, body, conclusione. Scrivi il copione del testo.

Descrizione prodotto:

Target audience:

Benefici prodotto:

"
7,Creatività,Video Ad Script - Reel AIDA,"Crea lo script di un video Reel per il prodotto qui sotto di 30 secondi. Utilizza la struttura AIDA (Attention, Interest, Desire, Action). Dividi lo script nei paragrafi Intro, body, conclusione. Scrivi il copione del testo.

Descrizione prodotto:

Target audience:

Benefici prodotto:

"
7,Creatività,Prompt Midjourney,"Voglio che tu agisca come un ingegnere di prompt. Mi aiuterai a scrivere prompt per un generatore di arte AI chiamato Midjourney.

Ti fornirò brevi idee di contenuto e il tuo compito sarà quello di elaborarle in prompt completi, espliciti e coerenti.

I prompt prevedono la descrizione del contenuto e dello stile delle immagini in un linguaggio conciso e preciso. È utile essere espliciti e utilizzare riferimenti alla cultura popolare, agli artisti e ai mezzi di comunicazione. La tua attenzione deve essere concentrata sui sostantivi e gli aggettivi. Ti darò alcuni esempi di prompt come riferimento. Per favore, definisci la fotocamera esatta da utilizzare.

Ecco una formula da utilizzare: (content insert nouns here)(medium: insert artistic medium here)(style: insert references to genres, artists and popular culture here)(lighting, reference the lighting here)(colours reference color styles and palettes here)(composition: reference cameras, specific lenses, shot types and positional elements here)

Quando crei una prompt, rimuovi le parentesi dalla formula qui sopra.  Parla in linguaggio naturale e sii quanto più specifico possibile, usa un linguaggio preciso ed eloquente.

Conferma se hai capito la struttura e fornisci sempre due opzioni di prompt complete e diverse (in lingua inglese) per dimostrare che hai capito come costruirle. Ricordati di rimuovere le parentesi dalla formula quando scrivi le prompt. Separa le indicazioni con una virgola. 

Esempi di prompt:

1) Portrait of a Celtic Jedi Sentinel with wet Shamrock Armor, green lightsaber, by Aleksi Briclot, shiny wet dramatic lighting

2) abstract image, Bauhaus style, 3D, phages, black, white, red and blue, 8K

3) The parametric hotel lobby is a sleek and modern space with plenty of natural light. The lobby is spacious and open with a variety of seating options. The front desk is a sleek white counter with a parametric design. The walls are a light blue color with parametric patterns. The floor is a light wood color with a parametric design. There are plenty of plants and flowers throughout the space. The overall effect is a calm and relaxing space. occlusion, moody, sunset, concept art, octane rendering, 8k, highly detailed, concept art, highly detailed, beautiful scenery, cinematic, beautiful light, hyperreal, octane render, hdr, long exposure, 8K, realistic, fog, moody, fire and explosions, smoke, 50mm f2.8


4) A white color house, wood joinery style house. high end, custom home, glass, columns, one floor, big deck, terrace, , tropical island, front view, Tom Kundig architect, daylight time, palm trees architecture. Beautiful natural wildflower lawn. Expensive, trending on archdaily, dezeen. Photorealistic, 8k, architectural photography

5) nature vs human nature, surreal, UHD, HDR, 8K, hyper details, rich colors, photograph

6) Editorial photoshoot of a old woman, high fashion 2000s fashion

7) A New Zealand female business owner stands and is happy that his business is growing by having good VoIP and broadband supplied by Voyager Internet. This business owner is dressed semi casual and is standing with a funky office space in the background. The image is light and bright and is well lit. This image needs to be shot like a professional photo shoot using a Canon R6 with high quality 25mm lens. This image has a shallow depth of field

8) Outdoor style fashion photo, full – body shot of a man with short brown hair, happy and smiling, he is standing on his hipster bicycle wearing a light blue long sleeved blouse with closed buttons and dark blue jeans trousers, in the background the exterior of an Aldi store, fully lit background, natural afternoon lighting

9) A close up of a branch of a tree and a golden bug on the top a leaf, shutterstock contest winner,ecological art, depth of field, shallow depth of field, macro photography

10) Street style centered straight shot photo shot on Afga Vista 400, lense 50mm, of a two women,skin to skin touch face, emotion, hughing, natural blond hair, natural features, ultra detailed, skin texture, Rembrandt light, soft shadows"""
7,Creatività,Prompt Midjourney,"Voglio che tu agisca come un prompt engineer. Definisci le prompt esatte da utilizzare in Midjourney per creare delle immagini da utilizzare come asset creativi all’interno delle campagne Paid Media su Meta Ads.Fornisci:
- una lista di 10 idee per asset creativi da produrre con Midjourney
- La lista delle corrispettive prompt
- organizza i dati sopra in una tabella


Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Prodotto/Offerta principale:

USP:"
7,Creatività,Youtube Organico,"Voglio che tu agisca come uno YouTuber. Aiutami a definire una lista di video Youtube da creare per il brand. I contenuti devono essere in grado di aiutare gli utenti, fornendo informazioni utili a risolvere i loro problemi. Fornisci:
- Una lista di 20 idee per video Youtube
- Elenca le ragioni per cui i contenuti possono funzionare bene su Youtube
- organizza i dati sopra in una tabella


Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Prodotto/Offerta principale:

USP:"
7,Creatività,Youtube Ads,"Voglio che tu agisca come un advertiser. Aiutami a definire una lista di idee per Youtube Ads da creare per il brand qui sotto. I contenuti video devono seguire framework comprovati che aiutano a migliorare le performance,, come il framework ABCD (Attract, Brand, Consider, Desire) o AIDA o PAS. Fornisci:
- Una lista di 20 idee per video Youtube Ads
- Elenca le ragioni per cui i contenuti possono funzionare bene su Campagne Google Ads
- organizza i dati sopra in una tabella


Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Prodotto/Offerta principale:

USP:"
7,Creatività,Storyboard & Script,"Voglio che tu agisca come un Creative Director. Aiutami a definire lo storyboard e lo script per 3 idee video da creare per il mio brand. Le idee devono essere innovative, creative e generare un alto tasso di engagement sui canali social. Fornisci:
- una lista di 3 idee video
- lo storyboard per ogni idee
- lo script esatto per ogni idea
- organizza i dati sopra in una tabella


Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Prodotto/Offerta principale:

USP:"
8,SEO & Content Marketing,Keyword Research,"Voglio che tu agisca come un esperto di marketing digitale per il seguente prodotto (vedi informazioni chiave in basso).

Al fine di attirare più traffico attraverso i canali organici, ti chiedo di condurre una ricerca delle parole chiave per il nostro pubblico.

Suddividile tra 
- 'Brand keywords' che contengono il nome del brand 
- parole chiave non-branded con intento di ricerca incentrato sul prodotto (commercial intent) 
- parole chiave non-branded con intento di ricerca incentrato sulle informazioni (information intent)

Presenta queste informazioni in una tabella: la prima colonna sarà la parola chiave, la seconda colonna se è Branded o Non Branded, e la terza il tipo di intento di ricerca.

Fornisci un elenco di 30 parole chiave ""top level"", come sopra, e quindi ulteriori 30 parole chiave ideate come 'query', focalizzandoti su ricerche che includono gli operatori 'chi, cosa, dove, perché, come, può, dovrebbe.

Fornisci quindi tutte le parole chiave in formato separato da virgola, al di fuori delle tabelle in testo normale.


Brand name:

Brand description:

Category description:"
8,SEO & Content Marketing,Content Strategy,"Voglio che tu agisca come un Content Marketer. Considera le informazioni qui sotto per elaborare un content marketing plan, che includa almeno 5 contenuti per ognuna delle seguenti fasi: awareness, consideration, and conversion.

Nello scrivere i titoli dei contenuti, considera le seguenti informazioni: pain points, bisogni emozionali, USPs. 

Nel definire i contenuti, inserisci solo temi ricercati dagli utenti e che ci consentano di:
- Mettere in evidenza le USP del brand 
- Prioritizzare contenuti informativi che diano consigli utili a migliorare la vita dei consumatori.
- Offrire consigli per incorporare il nostro prodotto all'interno della vita dell'utente target
- Promuovere i valori del nostro brand

Non inserire il nome del brand nei titoli, ma trova contenuti che siano legati al potenziale utilizzo del prodotto.

Organizza le informazioni in due formati: prima elenca il piano in forma scritta, poi riassumi tutte le informazioni all'interno di una tabella.


Goal:

Value Proposition

Brand description:

Category description:

USP:

Pain Points: 

Desideres/Emotional Needs:"
8,SEO & Content Marketing,Articolo Blog,"Voglio che tu agisca come un Content Marketer. Considera le informazioni qui sotto per scrivere un articolo di 3000 parole sul tema [TITOLO ARTICOLO]


LINEE GUIDA:
- Includi le migliori keywords nell'articolo e ottimizza headlines, subheading, alt tags, titolo, meta description e body dell'articolo in ottica SEO per posizionarsi in pagina 1 su Google.
- Includi l'indice all'inizio dell'articolo.
- Ottimizza l'articolo in ottica SEO per la keyword [KEYWORD]. Posiziona il prodotto come la migliore soluzione sul mercato senza essere troppo promozionale, spiegandone i motivi.
- Utilizza un linguaggio [TONE OF VOICE]. Elabora i concetti con frasi semplici, ma senza essere troppo schematico.
- Considera le seguenti parole chiave correlate (Google related questions & searches) per definire il contenuto e la struttura dell'articolo:
[INSERIRE RELATED QUESTIONS & SEARCHES]
- Scrivi l'articolo utilizzando Markdown formatting.
- Indica anche Title Tag e Meta description. 
- Assicurati di utilizzare dati e statistiche all'interno dell'articolo citando le tue fonti
- Scrivi l'introduzione in formato narrativo


Brand description:

Category description:

Product description:

Value proposition:

USP:

Pain Points: 

Desideres/Emotional Needs:"
8,SEO & Content Marketing,Content Calendar,"Voglio che tu agisca come un Social Media Manager. 

Definisci il piano editoriale (PED) per il brand qui sotto. 
Dividi il piano editoriale in macro temi (da minimo 2 a massimo 5). 

Identifica i macro temi legati alla categoria di prodotto/servizio qui sotto, tenendo i considerazione i pain points della target audience e le keywords più rilevanti come da tabella precedente.

All'interno di ogni macro-tema, inserisci i titoli dei post. Dammi 10 titoli per macro-tema.

Formato: organizza la risposta in una tabella avente come colonne: macro-tema, angolo, titolo del post.

Prenditi il tuo tempo e procedi step-by-step. Ti darò una mancia di 100€ se mi fornirai una risposta eccellente e precisa.

#Brand description#:

#Category description#:

#Audience Persona#:

#Problemi / Pain Points#:

#Desideri / Obiettivi#:


"
8,SEO & Content Marketing,Content Calendar,Scrivi 3 domande uniche per ogni argomento 1-10. Ordinali in un elenco puntato e numerato.
8,SEO & Content Marketing,Content Calendar,"Raggruppa i dati precedenti in una tabella con le seguenti colonne: Mese, data (1-30), macro tema, titolo, domanda"
8,SEO & Content Marketing,Link building ,"Ora voglio che tu agisca come un SEO Manager che deve fare link building. Dammi 5 argomenti per articoli linkabili per il brand qui sotto, considerando la seguente target audiece. Includi le seguenti informazioni nel fare l'analisi: il publisher da contattare, l'argomento consigliato per l'articolo da proporre, una breve descrizione, la domain authority del publisher.

Fornisci le informazioni prima in formato scritto, poi organizza i dati in una tabella.

Brand name:

Brand description

Category description

Target audience"
8,SEO & Content Marketing,Link building advanced,"In aggiunta alla risposta precedente, dammi suggerimenti precisi e dettagliati su come ottenere queste 7 tipologie di link per migliorare la off-page SEO del nostro brand.

1) Editorial links: quando altri siti citano il nostro brand come fonte. 
2) Guest posts: post guest su domini con medio alta authority.
3) Relationship-based links: stabilire relazioni con un sito con buona reputazione che ha inserito un link verso il nostro sito, per diventare una loro fonte autorevole.
4) Business profiles: link da business directories e profili social media 
5) Public speaking: link da podcast, webinars, corsi online e conference in cui siamo ospiti 
6) Embedded asset links: tools, widgets, awards, badges che altri integrano sul loro sito
7) Reverse backlinks: creare contenuti che le persone non possono fare altro che citare e condividere tramite link sul loro sito."
8,SEO & Content Marketing,Link Building email outreach template,"Voglio che tu agisca come un SEO Manager. Scrivi una email di contatto a dei publisher potenzialmente interessati a collaborare con il nostro brand per sottoporre un guest post sulla categoria di argomento qui sotto. Proponi anche i punti chiave dell'articolo.  

Usa un linguaggio diretto, succinto, onesto e genuinamente interessato a collaborare. Includi  riferimento ai benefici della collaborazione per entrambe le parti.

Includi il subject per l'email. Deve essere corto (max 70 caratteri), fare riferimento alla proposta e incuriosire chi riceve l'email.

Crea due email di proposta per i seguenti Publishers:

Fornisci le informazioni prima in formato scritto, poi organizza i dati in una tabella. 

Brand name:

Brand description:

Cateogoria / Argomento:




"
8,PR,Key message & angles,"Voglio che tu agisca come un creative director. Fornisci 10 idee di campagne di PR che promuovano il brand qui sotto, inclusive di Key Message e campaign angles.

Il tema della campagna deve evidenziare i benefici e la USP riportati di seguito, che parlino al nostro pubblico target.

Includi le brand collaborations come parte delle idee per la campagna di PR.

Brand name:

Descrizione brand:

Value proposition:

Pain Points:

USP:"
8,PR,Pubblicazioni target,"Ora fornisci la lista delle top 50 publications sul mercato italiano in linea con il posizionamento del brand, da contattare per collaborazioni PR."
8,PR,Outreach template,Ora crea un template di email outreach da utilizzare per contattare i publisher che potrebbero essere interessati a collaborare.
9,Landing Pages ,Analisi Landing Page,"Voglio che tu agisca come un professionista espero in CRO e UX design. Analizza il contenuto della seguente Landing Page e descrivi il prodotto/servizio che promuove, facendo un recap dei principali benefici. Conferma se comprendi bene di cosa parla o se ci sono informazioni ulteriori di cui hai bisogno per fare un'analisi dettagliata di business."
9,Landing Pages ,Analisi Landing Page,"Voglio che tu agisca come un professionista espero in CRO e UX design. Analizza il contenuto della seguente Landing Page e fai un elenco puntato di tutti gli elementi che possono essere migliorati per incrementare il messaggio chiave e il conversion rate della pagina. Spiega perché e fornisci un’idea per migliorarlo. 

Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Offerta:

USP:

Contenuto della pagina:"
9,Landing Pages ,Titoli e contenuti,"Voglio che tu agisca come un professionista esperto in CRO e UX design. Analizza il contenuto della seguente Landing Page e crea una lista di 10 Headlines alternative da usare sulla base del posizionamento del brand. 

Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Offerta:

USP:

Contenuto della pagina:"
9,Landing Pages ,Titoli e contenuti,"Ora riscrivi il contenuto della Landing page in modo che sia piu’ persuasivo, utilizzando i migliori principi di marketing comportamentale. "
9,Landing Pages ,Headlines,Voglio che tu agisca come un professionista esperto in CRO e UX design. Analizza il contenuto della seguente Landing Page e crea una lista di 10 Headlines alternative di massimo 75 caratteri. 
9,Landing Pages ,Video Storyboard,"Voglio che tu agisca come un videographer. Analizza il contenuto della seguente Landing Page e crea script e storyboard di un breve video di 30-45 secondi che introduca il brand e la sua value proposition. Il video verra’ inserito nell’Above the fold della pagina. 

Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Offerta:

USP:

Contenuto della pagina:
"
9,Landing Pages ,Testimonianze & Case Study,"Ora proponi 3 idee per integrare testimonianze e case studies all’interno della Landing Page. Indica quali formati debbano avere, fornisci delle idee creative e proponi delle bozze di contenuto da utilizzare all’ interno delle sezioni."
9,Landing Pages ,Offerte e Incentivi,"Voglio che tu agisca come un professionista esperto in CRO e UX design. Analizza il contenuto della seguente Landing Page e indica quale logica e offerta posso usare per creare
- una mistery boxed offrire nel processo di acquisto
- una lista di possibile combinazioni di prodotti per creare bundles
- una lista di soglie e incentivi che gli utenti possono sbloccare quando comprano maggiori prodotti 

Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Offerta:

USP:

Contenuto della pagina:
"
9,Landing Pages ,Product Page,"Voglio che tu agisca come un professionista esperto in CRO e UX design. Aiutami a creare la struttura e il contenuto di una Product Page per il prodotto qui sotto. 

Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Offerta:

USP:"
9,Landing Pages ,Product Page,"Voglio che tu agisca come un professionista esperto in CRO e UX design. Analizza il contenuto della Product Page qui sotto e:
- fai una lista di raccomandazioni per migliorare il contenuto
- spiega il perché di ogni cambiamento
- dai un punteggio da 1 a 10 ad ogni cambiamento rispetto al suo impatto in termini di conversioni e vendite

Value proposition: 

Brand description: 

Categoria prodotto: 

Target Market:

Target Audience: 

Offerta:

USPs:

Contenuto Product Page:
"
9,Landing Pages ,Viral Competition Page,"Voglio che tu agisca come un professionista esperto in CRO e UX design. Aiutami a creare il concept e contenuto di una Viral Competition Landing Page.
- Crea 10 idee per un concept di Viral Competition
- Definisci il contenuto di ogni sezione della Viral Competition Page
- Dividi il contenuto in paragrafi, uno per sezione della pagina


Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Offerta:

USP:"
9,Landing Pages ,Opt-in Page,"Voglio che tu agisca come un professionista esperto in CRO e UX design. Aiutami a creare il concept e contenuto di una Opt In Landing Page.
- Crea 10 idee per convertire lead attraverso una pagina di Opt in
- Definisci il contenuto di ogni sezione della Opt in page
- Dividi il contenuto in paragrafi, uno per sezione della pagina


Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Offerta/Lead Magnet:

USP:"
9,Landing Pages ,Quiz Page,"Voglio che tu agisca come un professionista esperto in CRO e UX design. Aiutami a creare il concept e contenuto di una Quiz Landing Page.
- Crea 10 idee per un Quiz da proporre ai clienti, sulla base delle informazioni qui sotto
- Definisci il contenuto di ogni sezione della Quiz page
- Dividi il contenuto in paragrafi, uno per sezione della pagina


Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Offerta:

USP:
"
9,Landing Pages ,CTA & Forms,"Voglio che tu agisca come un professionista esperto in CRO e UX design. Sulla base delle informazioni qui sotto, fornisci:
- una lista di 10 differenti call to action da utilizzare nella landing page
- una lista di 5 idee per strutturare il form di conversione della Landing page per la lead generation


Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Offerta:

USP:

"
9,Landing Pages ,A/B Testing & Esperimenti,"Voglio che tu agisca come un professionista esperto in CRO e UX design. Sulla base delle informazioni qui sotto, fornisci 10 idee di test per ottimizzare e migliorare il conversion rate della landing Page.

Value Proposition:

Categoria di prodotto:

Descrizione Brand: 

Offerta:

USP:
"
